Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,100.589996,100.690002,98.699997,99.18,51491300,94.574063
2014-10-02,99.269997,100.220001,98.040001,99.900002,47757800,95.260627
2014-10-03,99.440002,100.209999,99.040001,99.620003,43469600,94.99363100000001
2014-10-06,99.949997,100.650002,99.41999799999999,99.620003,37051200,94.99363100000001
2014-10-07,99.43,100.120003,98.730003,98.75,42094200,94.16403199999999
2014-10-08,98.760002,101.110001,98.309998,100.800003,57404700,96.118832
2014-10-09,101.540001,102.379997,100.610001,101.019997,77376500,96.328609
2014-10-10,100.690002,102.029999,100.300003,100.730003,66331600,96.052083
2014-10-13,101.33000200000001,101.779999,99.809998,99.809998,53583400,95.174803
2014-10-14,100.389999,100.519997,98.57,98.75,63688600,94.16403199999999
2014-10-15,97.970001,99.150002,95.18,97.540001,100933600,93.010225
2014-10-16,95.550003,97.720001,95.410004,96.260002,72154500,91.78967
2014-10-17,97.5,99.0,96.809998,97.66999799999999,68179700,93.134185
2014-10-20,98.32,99.959999,98.220001,99.760002,77517300,95.12712900000001
2014-10-21,103.019997,103.019997,101.269997,102.470001,94623900,97.711275
2014-10-22,102.839996,104.110001,102.599998,102.989998,68263100,98.207123
2014-10-23,104.08000200000001,105.050003,103.629997,104.83000200000001,71074700,99.96167700000001
2014-10-24,105.18,105.489998,104.529999,105.220001,47053900,100.33356500000001
2014-10-27,104.849998,105.480003,104.699997,105.110001,34187700,100.228673
2014-10-28,105.400002,106.739998,105.349998,106.739998,48060900,101.782973
2014-10-29,106.650002,107.370003,106.360001,107.339996,52687900,102.35510699999999
2014-10-30,106.959999,107.349998,105.900002,106.980003,40654800,102.011832
2014-10-31,108.010002,108.040001,107.209999,108.0,44639300,102.98446
2014-11-03,108.220001,110.300003,108.010002,109.400002,52282600,104.319445
2014-11-04,109.360001,109.489998,107.720001,108.599998,41574400,103.556595
2014-11-05,109.099998,109.300003,108.129997,108.860001,37435900,103.80452199999999
2014-11-06,108.599998,108.790001,107.800003,108.699997,34968500,104.101405
2014-11-07,108.75,109.32,108.550003,109.010002,33691500,104.398296
2014-11-10,109.019997,109.33000200000001,108.66999799999999,108.83000200000001,27195500,104.22591
2014-11-11,108.699997,109.75,108.400002,109.699997,27442300,105.0591
2014-11-12,109.379997,111.43,109.370003,111.25,46942400,106.54353
2014-11-13,111.800003,113.449997,111.599998,112.82,59522900,108.04711
2014-11-14,113.150002,114.190002,111.209999,114.18,44063600,109.349575
2014-11-17,114.269997,117.279999,113.300003,113.989998,46746700,109.16761100000001
2014-11-18,113.940002,115.690002,113.889999,115.470001,44224000,110.585002
2014-11-19,115.440002,115.739998,113.800003,114.66999799999999,41869200,109.818844
2014-11-20,114.910004,116.860001,114.849998,116.309998,43395500,111.38946200000001
2014-11-21,117.510002,117.57,116.029999,116.470001,57179300,111.542697
2014-11-24,116.849998,118.769997,116.620003,118.629997,47450800,113.611314
2014-11-25,119.07,119.75,117.449997,117.599998,68840400,112.624889
2014-11-26,117.940002,119.099998,117.83000200000001,119.0,40768300,113.96566299999999
2014-11-28,119.269997,119.400002,118.050003,118.93,24814400,113.898625
2014-12-01,118.809998,119.25,111.269997,115.07,83814000,110.201923
